shop_name,shop_business,shop_website,telephone_number,street_address,state,postal_code,star_rating,last_updated_at_UTC
The Larder @ Soho,Cafes and Coffee Shops,https://www.sohostel.co.uk/,020 8821 5394,"91-92 Dean Street,",London,W1D 3SY,,10-Dec-2021 19:14:10
Caffe Concerto,Cafes and Coffee Shops,http://www.caffeconcerto.co.uk?utm_source=yell&utm_medium=refferal&utm_campaign=yell,020 7494 6842,"79-81 Regent St,",London,W1B 4EG,,10-Dec-2021 19:14:10
Saint Dough,Cafes and Coffee Shops,http://www.saintdough.com,,"67 Neal Street, Covent Garden,",LONDON,WC2H 9PJ,,10-Dec-2021 19:14:10
Coffee Verona,Cafes and Coffee Shops,http://www.cafeverona.co.uk,020 7831 0138,"184 Drury Lane,",London,WC2B 5QD,,10-Dec-2021 19:14:10
Caffe Nero,Cafes and Coffee Shops,http://www.caffenero.co.uk,020 7434 9339,"26-28 Piccadilly,",London,W1J 0DJ,,10-Dec-2021 19:14:10
Cafe Ritazza,Cafes and Coffee Shops,http://www.ritazza.com,020 7494 9665,"Malta House, 36-38, Piccadilly,",London,W1J 0DP,,10-Dec-2021 19:14:10
Freggo,Cafes and Coffee Shops,http://www.freggo.co.uk/,020 7287 9506,"27-29 Swallow St,",London,W1B 4DW,,10-Dec-2021 19:14:10
Deca,Cafes and Coffee Shops,,,"174 Drury Lane, Holborn,",LONDON,WC2B 5QF,,10-Dec-2021 19:14:10
Greggs,Cafes and Coffee Shops,http://www.greggs.co.uk,020 7839 7459,"Westminister Underground Station, Bridge St,",London,SW1A 2JR,,10-Dec-2021 19:14:10
Spaccanapoli,Cafes and Coffee Shops,,020 7240 3994,"8 Earnshaw Street, Covent Garden,",LONDON,WC2H 8JZ,,10-Dec-2021 19:14:10
Riverside Terrace Cafe,Cafes and Coffee Shops,http://www.companyofcooks.com/,020 7921 0758,"2 Southbank Centre Belvedere Rd,",London,SE1 8XX,,10-Dec-2021 19:14:10
Caffe Nero,Cafes and Coffee Shops,http://www.caffenero.co.uk,020 7437 1497,"62 Brewer Street,",London,W1F 9TF,,10-Dec-2021 19:14:10
Caffe Nero,Cafes and Coffee Shops,http://www.caffenero.com,020 7240 7412,"1a St Giles High St,",London,WC2H 8AG,,10-Dec-2021 19:14:10
Starbucks Coffee Co (UK) Ltd,Cafes and Coffee Shops,http://www.starbucks.co.uk,020 7734 7632,"6a Vigo St,",London,W1S 3HF,,10-Dec-2021 19:14:10
Soho Coffee Club,Cafes and Coffee Shops,,020 8821 5394,"91-92 Dean St,",London,W1D 3SY,,10-Dec-2021 19:14:10
Soho Coffee Club,Cafes and Coffee Shops,http://www.sohostel.co.uk,020 7734 6342,"91 Dean St,",London,W1D 3SL,,10-Dec-2021 19:14:10
Starbucks Coffee Co (Uk) Ltd,Cafes and Coffee Shops,http://www.starbucks.co.uk,020 7287 7536,"129-133 Charing Cross Rd,",London,WC2H 0EW,,10-Dec-2021 19:14:10
Cotton Cafe,Cafes and Coffee Shops,,020 7287 3200,"82 Berwick St,",London,W1F 8TP,,10-Dec-2021 19:14:10
Soho Coffee Company,Cafes and Coffee Shops,http://www.sohocoffee.co.uk,020 3358 6773,"65 Kingsway, Holborn,",LONDON,WC2B 6TD,,10-Dec-2021 19:14:10
Sweetzcity Ltd,Cafes and Coffee Shops,http://www.sweetzcity.co.uk,07983 240537,"71-75 Shelton Stt,",London,WC2H 9JQ,1.7 out of 5 stars from 6 ratings,10-Dec-2021 19:14:10
Drury 188-189,Cafes and Coffee Shops,http://www.drury188189.co.uk,020 7831 7555,"188-189 Drury Lane, Holborn,",LONDON,WC2B 5QD,,10-Dec-2021 19:14:10
Eat,Cafes and Coffee Shops,http://www.eat.co.uk,020 7287 8394,"8-12 Broadwick Street,",London,W1F 8HW,,10-Dec-2021 19:14:10
Victoria House,Cafes and Coffee Shops,http://www.victoriahouseco.com,07490 000079,"5 Coptic St,",London,WC1A 1NH,5.0 out of 5 stars from 1 rating,10-Dec-2021 19:14:10
Costa Coffee,Cafes and Coffee Shops,http://www.costa.co.uk,020 7321 2315,"Westminster Station,",London,SW1A 2JR,,10-Dec-2021 19:14:10
Broomfield Cafe,Cafes and Coffee Shops,http://palmersgreenlocksmiths.com,020 3953 9496,"64 Aldermans Hill,",London,N13 4PP,5.0 out of 5 stars from 1 rating,10-Dec-2021 19:14:10
Laduree,Cafes and Coffee Shops,https://www.laduree.co.uk/238918/laduree-london-covent-garden.html,020 7240 0706,"1 The Market The Piazza,",London,WC2E 8RA,,10-Dec-2021 19:14:10
Venchi,Cafes and Coffee Shops,,0203632 1668,"18 Covent Garden Market, Covent Garden,",London,WC2E 8RB,,10-Dec-2021 19:14:10
Absolutely Fad Cafe,Cafes and Coffee Shops,,020 7930 5394,"32 Coventry St,",London,W1D 6BR,,10-Dec-2021 19:14:10
Morelli's Gelato,Cafes and Coffee Shops,,020 3602 0540,"Covent Garden,",LONDON,WC2E 8BE,,10-Dec-2021 19:14:10
Timber Yard,Cafes and Coffee Shops,http://www.timberyardlondon.com,020 3217 2009,"7 Upper St Martins Lane, Covent Garden,",LONDON,WC2H 9NY,,10-Dec-2021 19:14:10
Hotel Chocolat,Cafes and Coffee Shops,https://www.hotelchocolat.com/uk,020 7836 3349,"10 The Market The Piazza,",London,WC2E 8RB,,10-Dec-2021 19:14:10
Al Jumeriah,Cafes and Coffee Shops,http://aljumeirah.co.uk/,0116 429 9232,"Roof Top 203 Belgrave Gate,",Leicester,LE1 3HT,,10-Dec-2021 19:14:10
Cupcake Stories,Cafes and Coffee Shops,http://www.sweetheartcupcakes.co.uk,020 7240 5039,"34 The Market The Piazza,",London,WC2E 8RE,,10-Dec-2021 19:14:10
Melba,Cafes and Coffee Shops,http://www.thesavoylondon.com,020 7836 4343,"100 Strand,",London,WC2R 0EW,,10-Dec-2021 19:14:10
MAK Tea & Coffee Bar,Cafes and Coffee Shops,http://www.makteaandcoffeebar.co.uk,07956 891199,"513 Kingsbury Rd,",London,NW9 9EG,,10-Dec-2021 19:14:10
Abuelo,Cafes and Coffee Shops,http://www.abuelocafe.co.uk,020 7836 8476,"26 Southampton Street, Covent Garden,",LONDON,WC2E 7JA,,10-Dec-2021 19:14:10
Woo Tea,Cafes and Coffee Shops,,,"26 Wardour Street, Chinatown,",LONDON,W1D 6QL,,10-Dec-2021 19:14:10
Pistachios in the Park - Red Lion Cafe,Cafes and Coffee Shops,https://redlion.cafe?utm_source=yell&utm_medium=referral&utm_campaign=yell,020 3116 0024,"Red Lion Square Gardens,",London,WC1R 4QH,,10-Dec-2021 19:14:10
Woo Tea,Cafes and Coffee Shops,https://linktr.ee/wootealondon,020 7434 2028,"26 Wardour Street,",London,W1D 6QL,,10-Dec-2021 19:14:10
Broomfield Cafe,Cafes and Coffee Shops,http://palmersgreenlocksmiths.com,020 3953 9615,"64 Aldermans Hill,",London,N13 4PP,5.0 out of 5 stars from 1 rating,10-Dec-2021 19:14:10
Happy Lemon Plus,Cafes and Coffee Shops,http://www.happy-lemon.co.uk,020 7734 1966,"Chinatown Market Newport Court,",London,WC2H 7JS,,10-Dec-2021 19:14:10
St Anna,Cafes and Coffee Shops,https://www.facebook.com/st.anna.chelsea/,020 7751 5893,"453 Fulham Rd,",London,SW10 9UZ,5.0 out of 5 stars from 1 rating,10-Dec-2021 19:14:10
Urban Tea Rooms,Cafes and Coffee Shops,http://www.urbantearooms.com,020 7321 0605,"2A St James's Market,",LONDON,SW1Y 4AH,,10-Dec-2021 19:14:10
BlueBox.,Cafes and Coffee Shops,http://www.theblueboxinlondon.com,020 3675 5173,"1386 High Rd,",London,N20 9BH,5.0 out of 5 stars from 1 rating,10-Dec-2021 19:14:10
Caffe Nero,Cafes and Coffee Shops,http://www.caffenero.co.uk,020 7930 9901,"27 Haymarket,",London,SW1Y 4EN,,10-Dec-2021 19:14:10
Bola Bola Boba,Tea and Coffee Specialist Shops,https://www.bolabolaboba.co.uk/,07861 724878,"Unit 18 The Market Place Peckham, Rye Lane,",London,SE15 5EW,,10-Dec-2021 19:14:10
Bar Bruno,Cafes and Coffee Shops,http://www.londontown.com/londoninformation/restaurant/bar_bruno/3710,020 7734 3750,"101 Wardour St,",London,W1F 0UG,5.0 out of 5 stars from 1 rating,10-Dec-2021 19:14:10
Espresso Bar,Cafes and Coffee Shops,https://www.facebook.com/espressobarhackneydowns,020 7747 2885,"Trafalgar Square,",London,WC2N 5DN,,10-Dec-2021 19:14:10
Cafe in the Crypt,Cafes and Coffee Shops,http://www.smitf.org,020 7766 1158,"within St. Martin in the Fields, Duncannon St,",London,WC2N 4JF,,10-Dec-2021 19:14:10
Pret a Manger,Cafes and Coffee Shops,http://www.pret.com,020 7932 5455,"87-88 Strand,",London,WC2R 0DW,,10-Dec-2021 19:14:10
"The Theatre Cafe,",Cafes and Coffee Shops,,020 7581 0300,"66 Shaftesbury Avenue,",London,W1D 6LX,,10-Dec-2021 19:14:10
Basil's Sandwich Bar,Cafes and Coffee Shops,,01303 489961,"910 Sauchiehall Street Charing Cross,",Folkestone,CT19 4DP,,10-Dec-2021 19:14:10
Urban Tea Rooms Ltd,Cafes and Coffee Shops,,0207321 0605,"2 St James's Market,",London,SW1Y 4SB,,10-Dec-2021 19:14:10
Starbucks Coffee Co (UK) Ltd,Cafes and Coffee Shops,http://www.starbucks.co.uk,020 7240 5789,"99 St Martins Lane,",London,WC2N 4AS,4.0 out of 5 stars from 1 rating,10-Dec-2021 19:14:10
Fresh & Organic Cafe,Cafes and Coffee Shops,http://www.freshandorganic.uk/?utm_source=yell&utm_medium=referral&utm_campaign=yell,020 7404 5153,"174 Drury Lane,",London,WC2B 5QF,,10-Dec-2021 19:14:10
Pret a Manger,Cafes and Coffee Shops,http://www.pret.com,020 7932 5248,"25 Villiers St,",London,WC2N 6ND,5.0 out of 5 stars from 1 rating,10-Dec-2021 19:14:10
Distriandina,Cafes and Coffee Shops,,020 7703 5088,"Unit 6,",London,SE17 1LB,,10-Dec-2021 19:14:10
Tunnel Meal,Cafes and Coffee Shops,http://www.tunnelmeals.co.uk,020 7839 6116,"12 The Arches Villiers St,",London,WC2N 6NG,5.0 out of 5 stars from 3 ratings,10-Dec-2021 19:14:10
Yi Fang,Cafes and Coffee Shops,http://www.yifangtea.co.uk,020 7078 4214,"104 Shaftesbury Avenue,",London,W1D 5EG,,10-Dec-2021 19:14:10
Wright's,Cafes and Coffee Shops,http://www.wrightsoflondon.co.uk,020 7976 1630,"15A Pall Mall, Charing Cross,",LONDON,SW1Y 5LU,,10-Dec-2021 19:14:10
The Espresso Room,Cafes and Coffee Shops,http://www.theespressoroom.co.uk,020 3583 6949,"24 New Row, Charing Cross,",LONDON,WC2N 4LA,5.0 out of 5 stars from 2 ratings,10-Dec-2021 19:14:10
Picccadillly Coffee & Meeting House,Cafes and Coffee Shops,,020 7800 0000,"Piccadilly Circus, Haymarket,",LONDON,W1J 0DA,,10-Dec-2021 19:14:10
Costa Coffee,Cafes and Coffee Shops,http://www.costa.co.uk,020 7930 1017,"Unit 8 Station Concourse, Westminster,",London,WC2N 5HS,,10-Dec-2021 19:14:10
Bonapartes,Cafes and Coffee Shops,http://www.compass-group.com,020 7930 9553,"Charing Cross Station Strand,",London,WC2N 5HS,,10-Dec-2021 19:14:10
Waterstones Booksellers Ltd,Cafes and Coffee Shops,,020 7839 5675,"43891 Strand,",London,WC2N 5EJ,,10-Dec-2021 19:14:10
Notes,Cafes and Coffee Shops,http://www.notes-uk.co.uk,020 7240 0424,"31 St Martin's Lane,",London,WC2N 4ER,,10-Dec-2021 19:14:10
Costa Coffee,Cafes and Coffee Shops,http://www.costa.co.uk,020 7839 5675,"Grand Building Strand,",London,WC2N 5EJ,,10-Dec-2021 19:14:10
Cafe La Roche,Cafes and Coffee Shops,http://www.la-roche-london.co.uk,020 7240 8076,"39 St. Martin's Lane,",London,WC2N 4ER,,10-Dec-2021 19:14:10
Nero Express,Cafes and Coffee Shops,http://www.caffenero.com,020 3272 0055,"Charing Cross Station Strand,",London,WC2N 5HS,,10-Dec-2021 19:14:10
BIG BITE Convenience Store (24 Hour),Cafes and Coffee Shops,,020 7434 4498,"52 Wardour Street,",LONDON,W1D 6QU,,10-Dec-2021 19:14:10
The Theatre Cafe,Cafes and Coffee Shops,http://www.thetheatrecafe.co.uk,020 7851 0300,"99 St. Martin's Lane,",London,WC2N 4AS,,10-Dec-2021 19:14:10
MAK Tea & Coffee Bar,Cafes and Coffee Shops,http://www.makteaandcoffeebar.co.uk,07956 891199,"513 Kingsbury Rd,",London,NW9 9EG,,10-Dec-2021 19:14:10
Costa,Cafes and Coffee Shops,http://www.costa.co.uk,,"22-24 Leicester Square,",LONDON,WC2H 7JY,5.0 out of 5 stars from 1 rating,10-Dec-2021 19:14:10
MAK Tea & Coffee Bar,Cafes and Coffee Shops,http://www.makteaandcoffeebar.co.uk,07956 891199,"513 Kingsbury Rd,",London,NW9 9EG,,10-Dec-2021 19:14:10
Caffe Nero,Cafes and Coffee Shops,http://www.caffenero.co.uk,020 7836 5110,"36a St Martins Lane,",London,WC2N 4ER,,10-Dec-2021 19:14:10
Caffe Concerto,Cafes and Coffee Shops,http://www.caffeconcerto.co.uk,020 7494 6844,"5-6 Northumberland Avenue, Charing Cross,",LONDON,WC2N 5BW,,10-Dec-2021 19:14:10
Nature's Nest,Cafes and Coffee Shops,http://www.naturesnest-online.com,020 8519 5681,"38 Totteridge Lane,",London,N20 9QJ,,10-Dec-2021 19:14:10
Pret a Manger,Cafes and Coffee Shops,https://locations.pret.co.uk,020 7930 6222,"7-8 St Martin's Place,",London,WC2N 4HA,,10-Dec-2021 19:14:10
Caffe Nero,Cafes and Coffee Shops,http://www.caffenero.com,020 7240 9399,"10 Bedford St,",London,WC2E 7HE,,10-Dec-2021 19:14:10
Caffe Nero,Cafes and Coffee Shops,http://www.caffenero.co.uk,020 7240 9399,"10a Bedford Street,",London,WC2E 9HE,,10-Dec-2021 19:14:10
Costa Coffee,Cafes and Coffee Shops,http://www.costa.co.uk,020 7240 3423,"13 Westminster,",London,WC2N 4LF,,10-Dec-2021 19:14:10
Filli Europe Ltd,Cafes and Coffee Shops,,020 3982 3679,"21 Charing Cross Rd,",London,WC2H 0ET,,10-Dec-2021 19:14:10
Costa Pronto,Cafes and Coffee Shops,http://www.costa.co.uk,,"Cranbourn Street, Chinatown,",LONDON,WC2H 7AG,,10-Dec-2021 19:14:10
Caffe Nero,Cafes and Coffee Shops,http://www.caffenero.co.uk,020 7836 6772,"32 Cranbourn St,",London,WC2H 7AD,,10-Dec-2021 19:14:10
Caffe Concerto,Cafes and Coffee Shops,http://www.caffeconcerto.co.uk,020 7494 6846,"43 Whitehall,",London,SW1A 2BX,,10-Dec-2021 19:14:10
Caffe Italiano,Cafes and Coffee Shops,,020 7930 4727,"1 Irving Street, Chinatown,",LONDON,WC2H 7AT,,10-Dec-2021 19:14:10
La Chandelle,Cafes and Coffee Shops,,020 7930 4727,"2-3 Irving Street,",London,WC2H 7AT,1.0 out of 5 stars from 2 ratings,10-Dec-2021 19:14:10
Pret a Manger,Cafes and Coffee Shops,http://www.pret.com,020 7839 3995,"5 Pall Mall East,",London,SW1Y 5BA,,10-Dec-2021 19:14:10
Pret a Manger,Cafes and Coffee Shops,https://www.pret.co.uk/en-GB,020 7932 5246,"52 Haymarket,",London,SW1Y 4RP,4.5 out of 5 stars from 2 ratings,10-Dec-2021 19:14:10
Eli's Espresso Bar,Cafes and Coffee Shops,,020 7240 7810,"28 Bedfordbury,",London,WC2N 4BJ,,10-Dec-2021 19:14:10
Grace 40,Cafes and Coffee Shops,https://www.facebook.com/Grace-40-513267219079094,07786 367880,,Bromley,,5.0 out of 5 stars from 3 ratings,10-Dec-2021 19:14:10
Yaki Yaki,Cafes and Coffee Shops,http://yakiyaki.co.uk,,"4 New Row, Charing Cross,",LONDON,WC2N 4LH,,10-Dec-2021 19:14:10
Sweet N Savoury,Cafes and Coffee Shops,https://www.sweetnsavoury.co.uk/,020 7625 7996,"237 Kilburn High Road,",LONDON,NW6 7JN,5.0 out of 5 stars from 1 rating,10-Dec-2021 19:14:10
Embankment Cafe,Cafes and Coffee Shops,,020 7930 1471,"25 Victoria Embankment,",London,WC2R 2PN,,10-Dec-2021 19:14:10
Kulan Cafe,Cafes and Coffee Shops,,0330 113 0500,"504 Neasden Lane North,",London,NW10 0EA,,10-Dec-2021 19:14:10
Canela Covent Garden Ltd,Cafes and Coffee Shops,http://www.canelacafe.com,020 7240 6926,"33 Earlham St,",London,WC2H 9LS,4.1 out of 5 stars from 14 ratings,10-Dec-2021 19:14:10
St Anna,Cafes and Coffee Shops,https://www.facebook.com/st.anna.chelsea/,020 7751 5893,"453 Fulham Rd,",London,SW10 9UZ,5.0 out of 5 stars from 1 rating,10-Dec-2021 19:14:10
Monmouth Coffee Co.Ltd,Cafes and Coffee Shops,http://www.monmouthcoffee.co.uk,020 7232 3010,"27 Monmouth St,",London,WC2H 9DD,4.5 out of 5 stars from 18 ratings,10-Dec-2021 19:14:10
La Roche Coffee Shop,Cafes and Coffee Shops,http://www.la-roche-london.co.uk,020 7240 3391,"39 St. Martin's Lane,",London,WC2N 4ER,,10-Dec-2021 19:14:10
Maison Bertaux Ltd,Cafes and Coffee Shops,http://www.maisonbertaux.com,020 7437 6007,"28 Greek St,",London,W1D 5DQ,4.6 out of 5 stars from 12 ratings,10-Dec-2021 19:14:10
Starbucks Coffee Co (UK) Ltd,Cafes and Coffee Shops,http://www.starbucks.co.uk,020 7930 0649,"14 Villiers St,",London,WC2N 6NQ,,10-Dec-2021 19:14:10
The Covent Garden Kafeneo,Cafes and Coffee Shops,http://www.kafeneo.co.uk,020 7240 8577,"12-14 Tavistock St,",London,WC2E 7PH,,10-Dec-2021 19:14:10
Host,Cafes and Coffee Shops,http://www.hostcoffee.co.uk,,"31 Henrietta Street, Covent Garden,",LONDON,WC2E 8NA,,10-Dec-2021 19:14:10
Nero Express,Cafes and Coffee Shops,,0203272 0055,"Charing Cross Railway Station, The Strand,",London,WC2N 5HS,,10-Dec-2021 19:14:10
Coffee Club App Limited,Cafes and Coffee Shops,http://www.coffeeclub.cc,07977 042253,"42 Cranbourn St,",London,WC2H 7AN,,10-Dec-2021 19:14:10
Caffe Nero,Cafes and Coffee Shops,http://www.caffenero.com,020 7930 7929,"60-61 Trafalgar Square,",London,WC2N 5DS,,10-Dec-2021 19:14:10
Costa Coffee,Cafes and Coffee Shops,http://www.costa.co.uk,020 7494 2456,"Leicester Square Station, Westminster,",London,WC2H 0AP,,10-Dec-2021 19:14:10
Costa Coffee,Cafes and Coffee Shops,http://www.costa.co.uk,020 7607 7769,"301-305,",London,N7 8JU,,10-Dec-2021 19:14:10
Ella Mia,Cafes and Coffee Shops,http://www.sbe.com,020 7300 5588,"45a St. Martin's Lane,",London,WC2N 4HX,,10-Dec-2021 19:14:10
Tossed,Cafes and Coffee Shops,http://www.tosseduk.com,020 7836 3842,"100 St Martins Lane,",London,WC2N 4AZ,,10-Dec-2021 19:14:10
Starbucks Coffee Co (UK) Ltd,Cafes and Coffee Shops,http://www.starbucks.co.uk,020 7930 0649,"1-3 Villiers St,",London,WC2N 6NN,,10-Dec-2021 19:14:10
Pret a Manger,Cafes and Coffee Shops,https://locations.pret.co.uk/london/1-whitehall,020 7932 5216,"1 Whitehall,",London,SW1A 2DD,,10-Dec-2021 19:14:10
Pret a Manger,Cafes and Coffee Shops,https://locations.pret.co.uk/london/77-78-st-martin's-lane,020 7932 5213,"77-78 St Martin's Lane,",London,WC2N 4AA,4.0 out of 5 stars from 2 ratings,10-Dec-2021 19:14:10
Bola Bola Boba,Cafes and Coffee Shops,https://www.bolabolaboba.co.uk/,07861 724878,"Unit 18 The Market Place Peckham, Rye Lane,",London,SE15 5EW,,10-Dec-2021 19:14:10
Fresh Fruit Smoothies & Juices,Cafes and Coffee Shops,,,"Villiers Street, Charing Cross,",LONDON,WC2N 6NE,,10-Dec-2021 19:14:10
La Chandelle,Cafes and Coffee Shops,,02079 304727,"2-3 Irving Street,",London,WC2H 7AT,,10-Dec-2021 19:14:10
Sweet N Savoury,Cafes and Coffee Shops,https://www.sweetnsavoury.co.uk/,020 7625 7996,"237 Kilburn High Road,",LONDON,NW6 7JN,5.0 out of 5 stars from 1 rating,10-Dec-2021 19:14:10
Stephano's,Cafes and Coffee Shops,,020 7930 4727,"2-3 Irving St,",London,WC2H 7AT,,10-Dec-2021 19:14:10
